,cluster
cell_266,Cluster 8
cell_267,Cluster 6
cell_268,Cluster 6
cell_269,Cluster 0
cell_270,Cluster 8
cell_271,Cluster 0
cell_272,Cluster 2
cell_273,Cluster 0
cell_274,Cluster 2
cell_275,Cluster 6
cell_276,Cluster 6
cell_277,Cluster 4
cell_278,Cluster 4
cell_279,Cluster 4
cell_280,Cluster 12
cell_281,Cluster 8
cell_282,Cluster 4
cell_283,Cluster 0
cell_284,Cluster 8
cell_285,Cluster 4
cell_286,Cluster 6
cell_287,Cluster 6
cell_288,Cluster 2
cell_289,Cluster 8
cell_290,Cluster 4
cell_291,Cluster 4
cell_292,Cluster 12
cell_293,Cluster 12
cell_294,Cluster 4
cell_295,Cluster 12
cell_296,Cluster 5
cell_297,Cluster 0
cell_298,Cluster 4
cell_299,Cluster 12
cell_300,Cluster 4
cell_301,Cluster 4
cell_302,Cluster 7
cell_303,Cluster 12
cell_304,Cluster 3
cell_305,Cluster 0
cell_306,Cluster 12
cell_307,Cluster 3
cell_308,Cluster 3
cell_309,Cluster 8
cell_310,Cluster 3
cell_311,Cluster 6
cell_312,Cluster 8
cell_313,Cluster 8
cell_314,Cluster 2
cell_315,Cluster 2
cell_316,Cluster 2
cell_317,Cluster 8
cell_318,Cluster 3
cell_319,Cluster 8
cell_320,Cluster 6
cell_321,Cluster 8
cell_322,Cluster 3
cell_323,Cluster 8
cell_324,Cluster 12
cell_325,Cluster 9
cell_326,Cluster 8
cell_327,Cluster 7
cell_328,Cluster 8
cell_329,Cluster 8
cell_330,Cluster 9
cell_331,Cluster 7
cell_332,Cluster 8
cell_333,Cluster 8
cell_334,Cluster 8
cell_335,Cluster 3
cell_336,Cluster 9
cell_337,Cluster 3
cell_338,Cluster 9
cell_339,Cluster 8
cell_340,Cluster 9
cell_341,Cluster 7
cell_342,Cluster 8
cell_343,Cluster 4
cell_344,Cluster 3
cell_345,Cluster 0
cell_346,Cluster 3
cell_347,Cluster 5
cell_348,Cluster 6
cell_349,Cluster 8
cell_350,Cluster 9
cell_351,Cluster 6
cell_352,Cluster 8
cell_353,Cluster 4
cell_354,Cluster 7
cell_355,Cluster 4
cell_356,Cluster 12
cell_357,Cluster 8
cell_358,Cluster 6
cell_359,Cluster 8
cell_360,Cluster 7
cell_361,Cluster 3
cell_362,Cluster 8
cell_363,Cluster 8
cell_364,Cluster 8
cell_365,Cluster 9
cell_366,Cluster 0
cell_367,Cluster 8
cell_368,Cluster 9
cell_369,Cluster 8
cell_370,Cluster 8
cell_371,Cluster 8
cell_372,Cluster 7
cell_373,Cluster 8
cell_374,Cluster 8
cell_375,Cluster 6
cell_376,Cluster 7
cell_377,Cluster 8
cell_378,Cluster 8
cell_379,Cluster 8
cell_380,Cluster 3
cell_381,Cluster 6
cell_382,Cluster 8
cell_383,Cluster 8
cell_384,Cluster 9
cell_385,Cluster 6
cell_386,Cluster 9
cell_387,Cluster 9
cell_388,Cluster 7
cell_389,Cluster 7
cell_390,Cluster 7
